Unnamed: 0,code,symbol,is_pitfall
0,C0102,blacklisted-name,
1,C0103,invalid-name,1.0
2,C0104,disallowed-name,0.0
3,C0112,empty-docstring,0.0
4,C0113,unneeded-not,1.0
5,C0114,missing-module-docstring,0.0
6,C0115,missing-class-docstring,0.0
7,C0116,missing-function-docstring,0.0
8,C0121,singleton-comparison,1.0
9,C0122,misplaced-comparison-constant,0.0
10,C0123,unidiomatic-typecheck,1.0
11,C0144,non-ascii-name,
12,C0200,consider-using-enumerate,1.0
13,C0201,consider-iterating-dictionary,0.0
14,C0202,bad-classmethod-argument,
15,C0203,bad-mcs-method-argument,1.0
16,C0204,bad-mcs-classmethod-argument,1.0
17,C0205,single-string-used-for-slots,1.0
18,C0206,consider-using-dict-items,0.0
19,C0207,use-maxsplit-arg,0.0
20,C0301,line-too-long,1.0
21,C0302,too-many-lines,1.0
22,C0303,trailing-whitespace,0.0
23,C0304,missing-final-newline,0.0
24,C0305,trailing-newlines,0.0
25,C0321,multiple-statements,1.0
26,C0325,superfluous-parens,1.0
27,C0326,bad-whitespace,
28,C0327,mixed-line-endings,
29,C0328,unexpected-line-ending-format,
30,C0330,bad-continuation,
31,C0401,wrong-spelling-in-comment,
32,C0402,wrong-spelling-in-docstring,
33,C0403,invalid-characters-in-docstring,
34,C0410,multiple-imports,0.0
35,C0411,wrong-import-order,0.0
36,C0412,ungrouped-imports,0.0
37,C0413,wrong-import-position,1.0
38,C0414,useless-import-alias,1.0
39,C0415,import-outside-toplevel,1.0
40,C1801,len-as-condition,1.0
41,E0001,syntax-error,0.0
42,E0011,unrecognized-inline-option,0.0
43,E0012,bad-option-value,0.0
44,E0013,bad-plugin-value,0.0
45,E0100,init-is-generator,0.0
46,E0101,return-in-init,0.0
47,E0102,function-redefined,0.0
48,E0103,not-in-loop,0.0
49,E0104,return-outside-function,0.0
50,E0105,yield-outside-function,0.0
51,E0107,nonexistent-operator,0.0
52,E0108,duplicate-argument-name,0.0
53,E0110,abstract-class-instantiated,0.0
54,E0111,bad-reversed-sequence,0.0
55,E0112,too-many-star-expressions,0.0
56,E0113,invalid-star-assignment-target,0.0
57,E0114,star-needs-assignment-target,0.0
58,E0115,nonlocal-and-global,0.0
59,E0117,nonlocal-without-binding,0.0
60,E0118,used-prior-global-declaration,0.0
61,E0119,misplaced-format-function,0.0
62,E0202,method-hidden,0.0
63,E0203,access-member-before-definition,0.0
64,E0211,no-method-argument,0.0
65,E0213,no-self-argument,0.0
66,E0236,invalid-slots-object,0.0
67,E0237,assigning-non-slot,0.0
68,E0238,invalid-slots,0.0
69,E0239,inherit-non-class,0.0
70,E0240,inconsistent-mro,0.0
71,E0241,duplicate-bases,0.0
72,E0242,class-variable-slots-conflict,0.0
73,E0243,invalid-class-object,0.0
74,E0301,non-iterator-returned,0.0
75,E0302,unexpected-special-method-signature,0.0
76,E0303,invalid-length-returned,0.0
77,E0304,invalid-bool-returned,0.0
78,E0305,invalid-index-returned,0.0
79,E0306,invalid-repr-returned,0.0
80,E0307,invalid-str-returned,0.0
81,E0308,invalid-bytes-returned,0.0
82,E0309,invalid-hash-returned,0.0
83,E0310,invalid-length-hint-returned,0.0
84,E0311,invalid-format-returned,0.0
85,E0312,invalid-getnewargs-returned,0.0
86,E0313,invalid-getnewargs-ex-returned,0.0
87,E0401,import-error,0.0
88,E0402,relative-beyond-top-level,0.0
89,E0601,used-before-assignment,0.0
90,E0602,undefined-variable,0.0
91,E0603,undefined-all-variable,0.0
92,E0604,invalid-all-object,0.0
93,E0605,invalid-all-format,0.0
94,E0611,no-name-in-module,0.0
95,E0633,unpacking-non-sequence,0.0
96,E0701,bad-except-order,0.0
97,E0702,raising-bad-type,0.0
98,E0703,bad-exception-context,0.0
99,E0704,misplaced-bare-raise,0.0
100,E0710,raising-non-exception,0.0
101,E0711,notimplemented-raised,0.0
102,E0712,catching-non-exception,0.0
103,E1003,bad-super-call,0.0
104,E1101,no-member,0.0
105,E1102,not-callable,0.0
106,E1111,assignment-from-no-return,0.0
107,E1120,no-value-for-parameter,0.0
108,E1121,too-many-function-args,0.0
109,E1123,unexpected-keyword-arg,0.0
110,E1124,redundant-keyword-arg,0.0
111,E1125,missing-kwoa,0.0
112,E1126,invalid-sequence-index,0.0
113,E1127,invalid-slice-index,0.0
114,E1128,assignment-from-none,0.0
115,E1129,not-context-manager,0.0
116,E1130,invalid-unary-operand-type,0.0
117,E1131,unsupported-binary-operation,0.0
118,E1132,repeated-keyword,0.0
119,E1133,not-an-iterable,0.0
120,E1134,not-a-mapping,0.0
121,E1135,unsupported-membership-test,0.0
122,E1136,unsubscriptable-object,0.0
123,E1137,unsupported-assignment-operation,0.0
124,E1138,unsupported-delete-operation,0.0
125,E1139,invalid-metaclass,0.0
126,E1140,unhashable-dict-key,0.0
127,E1141,dict-iter-missing-items,0.0
128,E1142,await-outside-async,0.0
129,E1200,logging-unsupported-format,0.0
130,E1201,logging-format-truncated,0.0
131,E1205,logging-too-many-args,0.0
132,E1206,logging-too-few-args,0.0
133,E1300,bad-format-character,0.0
134,E1301,truncated-format-string,0.0
135,E1302,mixed-format-string,0.0
136,E1303,format-needs-mapping,0.0
137,E1304,missing-format-string-key,0.0
138,E1305,too-many-format-args,0.0
139,E1306,too-few-format-args,0.0
140,E1307,bad-string-format-type,0.0
141,E1310,bad-str-strip-call,0.0
142,E1507,invalid-envvar-value,0.0
143,E1601,print-statement,0.0
144,E1602,parameter-unpacking,0.0
145,E1603,unpacking-in-except,0.0
146,E1604,old-raise-syntax,0.0
147,E1605,backtick,0.0
148,E1700,yield-inside-async-function,0.0
149,E1701,not-async-context-manager,0.0
150,F0001,fatal,0.0
151,F0002,astroid-error,0.0
152,F0010,parse-error,0.0
153,F0202,method-check-failed,0.0
154,I0001,raw-checker-failed,0.0
155,I0010,bad-inline-option,0.0
156,I0011,locally-disabled,0.0
157,I0013,file-ignored,0.0
158,I0020,suppressed-message,0.0
159,I0021,useless-suppression,0.0
160,I0022,deprecated-pragma,0.0
161,I0023,use-symbolic-message-instead,0.0
162,I1101,c-extension-no-member,0.0
163,R0123,literal-comparison,1.0
164,R0124,comparison-with-itself,
165,R0201,no-self-use,0.0
166,R0202,no-classmethod-decorator,
167,R0203,no-staticmethod-decorator,
168,R0205,useless-object-inheritance,0.0
169,R0206,property-with-parameters,
170,R0401,cyclic-import,
171,R0402,consider-using-from-import,0.0
172,R0801,duplicate-code,1.0
173,R0901,too-many-ancestors,1.0
174,R0902,too-many-instance-attributes,1.0
175,R0903,too-few-public-methods,0.0
176,R0904,too-many-public-methods,1.0
177,R0911,too-many-return-statements,1.0
178,R0912,too-many-branches,1.0
179,R0913,too-many-arguments,1.0
180,R0914,too-many-locals,1.0
181,R0915,too-many-statements,1.0
182,R0916,too-many-boolean-expressions,1.0
183,R1701,consider-merging-isinstance,1.0
184,R1702,too-many-nested-blocks,1.0
185,R1703,simplifiable-if-statement,0.0
186,R1704,redefined-argument-from-local,1.0
187,R1705,no-else-return,0.0
188,R1706,consider-using-ternary,0.0
189,R1707,trailing-comma-tuple,1.0
190,R1708,stop-iteration-return,
191,R1709,simplify-boolean-expression,
192,R1710,inconsistent-return-statements,1.0
193,R1711,useless-return,0.0
194,R1712,consider-swap-variables,1.0
195,R1713,consider-using-join,1.0
196,R1714,consider-using-in,1.0
197,R1715,consider-using-get,1.0
198,R1716,chained-comparison,1.0
199,R1717,consider-using-dict-comprehension,0.0
200,R1718,consider-using-set-comprehension,0.0
201,R1719,simplifiable-if-expression,1.0
202,R1720,no-else-raise,1.0
203,R1721,unnecessary-comprehension,1.0
204,R1722,consider-using-sys-exit,0.0
205,R1723,no-else-break,0.0
206,R1724,no-else-continue,0.0
207,R1725,super-with-arguments,1.0
208,R1726,simplifiable-condition,0.0
209,R1727,condition-evals-to-constant,0.0
210,R1728,consider-using-generator,0.0
211,R1729,use-a-generator,0.0
212,R1730,consider-using-min-builtin,0.0
213,R1731,consider-using-max-builtin,0.0
214,R1732,Consider-using-with,1.0
215,R1733,unnecessary-dict-index-lookup,0.0
216,W0101,unreachable,0.0
217,W0102,dangerous-default-value,1.0
218,W0104,pointless-statement,0.0
219,W0105,pointless-string-statement,0.0
220,W0106,expression-not-assigned,0.0
221,W0107,unnecessary-pass,0.0
222,W0108,unnecessary-lambda,0.0
223,W0109,duplicate-key,0.0
224,W0111,assign-to-new-keyword,0.0
225,W0120,useless-else-on-loop,0.0
226,W0122,exec-used,1.0
227,W0123,eval-used,1.0
228,W0124,confusing-with-statement,0.0
229,W0125,using-constant-test,0.0
230,W0126,missing-parentheses-for-call-in-test,0.0
231,W0127,self-assigning-variable,0.0
232,W0128,redeclared-assigned-name,0.0
233,W0129,assert-on-string-literal,0.0
234,W0143,comparison-with-callable,0.0
235,W0150,lost-exception,1.0
236,W0177,nan-comparison,0.0
237,W0199,assert-on-tuple,1.0
238,W0201,attribute-defined-outside-init,1.0
239,W0211,bad-staticmethod-argument,0.0
240,W0212,protected-access,1.0
241,W0221,arguments-differ,1.0
242,W0222,signature-differs,1.0
243,W0223,abstract-method,0.0
244,W0231,super-init-not-called,1.0
245,W0232,no-init,0.0
246,W0233,non-parent-init-called,1.0
247,W0235,useless-super-delegation,0.0
248,W0236,invalid-overridden-method,0.0
249,W0237,arguments-renamed,0.0
250,W0238,unused-private-member,0.0
251,W0301,unnecessary-semicolon,1.0
252,W0311,bad-indentation,1.0
253,W0312,mixed-indentation,1.0
254,W0401,wildcard-import,1.0
255,W0402,deprecated-module,1.0
256,W0404,reimported,0.0
257,W0406,import-self,0.0
258,W0407,preferred-module,0.0
259,W0410,misplaced-future,0.0
260,W0511,fixme,0.0
261,W0601,global-variable-undefined,0.0
262,W0602,global-variable-not-assigned,0.0
263,W0603,global-statement,0.0
264,W0604,global-at-module-level,0.0
265,W0611,unused-import,0.0
266,W0612,unused-variable,0.0
267,W0613,unused-argument,0.0
268,W0614,unused-wildcard-import,1.0
269,W0621,redefined-outer-name,1.0
270,W0622,redefined-builtin,1.0
271,W0623,redefine-in-handler,1.0
272,W0631,undefined-loop-variable,1.0
273,W0632,unbalanced-tuple-unpacking,0.0
274,W0640,cell-var-from-loop,
275,W0641,possibly-unused-variable,0.0
276,W0642,self-cls-assignment,0.0
277,W0702,bare-except,1.0
278,W0703,broad-except,1.0
279,W0705,duplicate-except,0.0
280,W0706,try-except-raise,0.0
281,W0707,raise-missing-from,1.0
282,W0711,binary-op-exception,
283,W0715,raising-format-tuple,
284,W0716,wrong-exception-operation,0.0
285,W1113,keyword-arg-before-vararg,0.0
286,W1114,arguments-out-of-order,0.0
287,W1115,non-str-assignment-to-dunder-name,1.0
288,W1116,isinstance-second-argument-not-valid-type,0.0
289,W1201,logging-not-lazy,1.0
290,W1202,logging-format-interpolation,0.0
291,W1203,logging-fstring-interpolation,0.0
292,W1300,bad-format-string-key,0.0
293,W1301,unused-format-string-key,
294,W1302,bad-format-string,
295,W1303,missing-format-argument-key,
296,W1304,unused-format-string-argument,
297,W1305,format-combined-specification,
298,W1306,missing-format-attribute,
299,W1307,invalid-format-index,
300,W1308,duplicate-string-formatting-argument,
301,W1309,f-string-without-interpolation,
302,W1401,anomalous-backslash-in-string,0.0
303,W1402,anomalous-unicode-escape-in-string,
304,W1403,implicit-str-concat-in-sequence,
305,W1404,implicit-str-concat,0.0
306,W1405,inconsistent-quotes,
307,W1501,bad-open-mode,
308,W1502,boolean-datetime,
309,W1503,redundant-unittest-assert,0.0
310,W1505,deprecated-method,1.0
311,W1506,bad-thread-instantiation,
312,W1507,shallow-copy-environ,
313,W1508,invalid-envvar-default,0.0
314,W1509,subprocess-popen-preexec-fn,
315,W1510,subprocess-run-check,0.0
316,W1511,deprecated-argument,0.0
317,W1512,deprecated-class,0.0
318,W1513,deprecated-decorator,0.0
319,W1601,apply-builtin,
320,W1602,basestring-builtin,
321,W1603,buffer-builtin,
322,W1604,cmp-builtin,
323,W1605,coerce-builtin,
324,W1606,execfile-builtin,
325,W1607,file-builtin,
326,W1608,long-builtin,
327,W1609,raw_input-builtin,
328,W1610,reduce-builtin,
329,W1611,standarderror-builtin,
330,W1612,unicode-builtin,
331,W1613,xrange-builtin,
332,W1614,coerce-method,
333,W1615,delslice-method,
334,W1616,getslice-method,
335,W1617,setslice-method,
336,W1618,no-absolute-import,
337,W1619,old-division,
338,W1620,dict-iter-method,
339,W1621,dict-view-method,
340,W1622,next-method-called,
341,W1623,metaclass-assignment,
342,W1624,indexing-exception,
343,W1625,raising-string,
344,W1626,reload-builtin,
345,W1627,oct-method,
346,W1628,hex-method,
347,W1629,nonzero-method,
348,W1630,cmp-method,
349,W1632,input-builtin,
350,W1633,round-builtin,
351,W1634,intern-builtin,
352,W1635,unichr-builtin,
353,W1636,map-builtin-not-iterating,
354,W1637,zip-builtin-not-iterating,
355,W1638,range-builtin-not-iterating,
356,W1639,filter-builtin-not-iterating,
357,W1640,using-cmp-argument,
358,W1641,eq-without-hash,
359,W1642,div-method,
360,W1643,idiv-method,
361,W1644,rdiv-method,
362,W1645,exception-message-attribute,
363,W1646,invalid-str-codec,
364,W1647,sys-max-int,
365,W1648,bad-python3-import,
366,W1649,deprecated-string-function,
367,W1650,deprecated-str-translate-call,
368,W1651,deprecated-itertools-function,
369,W1652,deprecated-types-field,
370,W1653,next-method-defined,
371,W1654,dict-items-not-iterating,
372,W1655,dict-keys-not-iterating,
373,W1656,dict-values-not-iterating,
374,W1657,deprecated-operator-function,
375,W1658,deprecated-urllib-function,
376,W1659,xreadlines-attribute,
377,W1660,deprecated-sys-function,
378,W1661,exception-escape,
379,W1662,comprehension-escape,
