age,Q4,Q5,Q7,Q8,Q9,Q11,Q12
1-3,Indifferent,I prefer A,I strongly prefer A,I strongly prefer B,I strongly prefer B,Indifferent,I strongly prefer A
3.1 - 5,I prefer B,I prefer B,I prefer A,I prefer B,I do not know,I prefer B,I prefer A
1-3,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A
1-3,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
3.1 - 5,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
<1,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer A,I strongly prefer A
3.1 - 5,I prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,Indifferent,I strongly prefer B,I strongly prefer A
1-3,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
1-3,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,Indifferent,I strongly prefer A
3.1 - 5,I strongly prefer A,I strongly prefer B,I strongly prefer A,I strongly prefer A,I prefer B,I strongly prefer B,I strongly prefer A
<1,I prefer A,I prefer A,I prefer A,I prefer A,I prefer A,I prefer A,I prefer A
3.1 - 5,I prefer B,I prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
<1,I prefer A,I strongly prefer B,I strongly prefer A,I prefer B,I prefer A,I strongly prefer B,Indifferent
1-3,I prefer B,I prefer A,I strongly prefer A,I prefer A,I prefer A,Indifferent,I prefer A
3.1 - 5,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
<1,I strongly prefer A,I strongly prefer A,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer B
5.1 - 10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
1-3,I strongly prefer B,I prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A
5.1 - 10,I strongly prefer B,I prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
3.1 - 5,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I prefer B,I prefer B,I prefer A
5.1 - 10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I prefer A,I strongly prefer B,I strongly prefer A
>10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
1-3,I strongly prefer A,I strongly prefer A,I strongly prefer A,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A
5.1 - 10,I prefer B,I prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
>10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,Indifferent,I strongly prefer A
1-3,I prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I prefer A
3.1 - 5,I prefer A,I prefer B,I strongly prefer A,I prefer A,I strongly prefer A,I strongly prefer A,I prefer A
1-3,I strongly prefer A,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer A,I strongly prefer A
1-3,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A,Indifferent,I strongly prefer A
5.1 - 10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
>10,I prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I prefer A
5.1 - 10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I prefer B,I strongly prefer B,I strongly prefer A
1-3,I strongly prefer B,I strongly prefer B,I prefer A,I prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A
5.1 - 10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
1-3,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer B,I strongly prefer A
<1,I prefer A,I strongly prefer B,I strongly prefer B,I strongly prefer A,I prefer B,I do not know,I prefer A
<1,I strongly prefer A,I prefer A,I prefer A,I strongly prefer A,I prefer A,I prefer B,I strongly prefer B
<1,I prefer B,I prefer B,I do not know,I prefer A,I prefer A,I prefer B,I prefer A
<1,I prefer B,I prefer B,I do not know,I strongly prefer B,I strongly prefer A,I prefer B,I strongly prefer A
<1,I prefer B,I prefer A,I prefer B,I prefer B,I prefer A,I prefer A,I prefer A
1-3,Indifferent,I strongly prefer B,I do not know,I strongly prefer B,I strongly prefer A,Indifferent,I strongly prefer A
1-3,I prefer B,I strongly prefer B,I strongly prefer A,I prefer A,I strongly prefer A,I prefer A,I prefer A
1-3,I strongly prefer B,I strongly prefer A,I strongly prefer A,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A
1-3,I prefer A,I strongly prefer A,I prefer A,I prefer A,I prefer A,I prefer B,I prefer A
5.1 - 10,I strongly prefer B,I strongly prefer A,I strongly prefer A,I strongly prefer B,I do not know,I do not know,I prefer A
1-3,I prefer B,I prefer A,I prefer B,I strongly prefer B,I prefer B,I prefer B,I prefer A
<1,I strongly prefer A,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer A,I strongly prefer B,I prefer A
5.1 - 10,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I prefer B,I strongly prefer A
3.1 - 5,I prefer B,I prefer B,I strongly prefer A,I strongly prefer B,Indifferent,I do not know,I strongly prefer A
3.1 - 5,I strongly prefer B,I strongly prefer B,I strongly prefer A,I strongly prefer B,I strongly prefer B,I prefer B,I strongly prefer A